Week,Date,Final,OT,Score,Attendance,Diff,Total,Winner
17,"Mar 24, 2024",Saskatchewan Rush 7 @ Georgia Swarm 9,,9-7,5073,2,16,Home
17,"Mar 23, 2024",Halifax Thunderbirds 8 @ Toronto Rock 9,OT,9-8,9588,1,17,Home
17,"Mar 23, 2024",Vancouver Warriors 21 @ Philadelphia Wings 12,,21-12,8737,9,33,Away
17,"Mar 23, 2024",Saskatchewan Rush 11 @ New York Riptide 14,,14-11,4875,3,25,Home
17,"Mar 23, 2024",Rochester Knighthawks 7 @ Colorado Mammoth 13,,13-7,11133,6,20,Home
17,"Mar 23, 2024",Las Vegas Desert Dogs 9 @ San Diego Seals 10,OT,10-9,5347,1,19,Home
17,"Mar 22, 2024",Buffalo Bandits 11 @ Panther City Lacrosse Club 12,OT,12-11,3045,1,23,Home
17,"Mar 22, 2024",Albany FireWolves 9 @ Calgary Roughnecks 10,OT,10-9,9656,1,19,Home
16,"Mar 16, 2024",Rochester Knighthawks 11 @ Albany FireWolves 10,,11-10,4173,1,21,Away
16,"Mar 16, 2024",Toronto Rock 12 @ Buffalo Bandits 14,,14-12,18463,2,26,Home
16,"Mar 16, 2024",Philadelphia Wings 13 @ Georgia Swarm 8,,13-8,4247,5,21,Away
16,"Mar 16, 2024",New York Riptide 15 @ Saskatchewan Rush 17,,17-15,7010,2,32,Home
16,"Mar 15, 2024",Panther City Lacrosse Club 9 @ Halifax Thunderbirds 13,,13-9,10196,4,22,Home
16,"Mar 15, 2024",San Diego Seals 7 @ Calgary Roughnecks 6,,7-6,14143,1,13,Away
16,"Mar 15, 2024",Las Vegas Desert Dogs 12 @ Vancouver Warriors 13,,13-12,9716,1,25,Home
15,"Mar 10, 2024",Panther City Lacrosse Club 9 @ Philadelphia Wings 8,OT,9-8,8129,1,17,Away
15,"Mar 9, 2024",Colorado Mammoth 7 @ Toronto Rock 12,,12-7,9220,5,19,Home
15,"Mar 9, 2024",Albany FireWolves 12 @ Rochester Knighthawks 18,,18-12,4886,6,30,Home
15,"Mar 9, 2024",Las Vegas Desert Dogs 11 @ New York Riptide 13,,13-11,5100,2,24,Home
15,"Mar 9, 2024",Halifax Thunderbirds 8 @ San Diego Seals 12,,12-8,2848,4,20,Home
15,"Mar 8, 2024",Vancouver Warriors 8 @ Albany FireWolves 13,,13-8,3231,5,21,Home
15,"Mar 8, 2024",Saskatchewan Rush 14 @ Buffalo Bandits 15,OT,15-14,16596,1,29,Home
15,"Mar 8, 2024",Calgary Roughnecks 12 @ Georgia Swarm 13,OT,13-12,6621,1,25,Home
14,"Mar 3, 2024",Rochester Knighthawks 19 @ Panther City Lacrosse Club 15,,19-15,2293,4,34,Away
14,"Mar 2, 2024",Calgary Roughnecks 9 @ Philadelphia Wings 11,,11-9,8558,2,20,Home
14,"Mar 2, 2024",New York Riptide 8 @ Albany FireWolves 14,,14-8,4409,6,22,Home
14,"Mar 2, 2024",Saskatchewan Rush 15 @ Colorado Mammoth 7,,15-7,10449,8,22,Away
14,"Mar 2, 2024",Toronto Rock 15 @ San Diego Seals 13,,15-13,4182,2,28,Away
14,"Mar 1, 2024",Toronto Rock 16 @ Las Vegas Desert Dogs 11,,16-11,6039,5,27,Away
14,"Mar 1, 2024",Georgia Swarm 12 @ Halifax Thunderbirds 11,,12-11,8457,1,23,Away
14,"Mar 1, 2024",San Diego Seals 10 @ Panther City Lacrosse Club 9,OT,10-9,2654,1,19,Away
14,"Mar 1, 2024",Buffalo Bandits 12 @ Vancouver Warriors 13,,13-12,10355,1,25,Home
13,"Feb 25, 2024",Georgia Swarm 9 @ Panther City Lacrosse Club 10,,10-9,2582,1,19,Home
13,"Feb 24, 2024",Las Vegas Desert Dogs 12 @ Rochester Knighthawks 8,,12-8,5759,4,20,Away
13,"Feb 24, 2024",Vancouver Warriors 5 @ Toronto Rock 9,,9-5,7611,4,14,Home
13,"Feb 24, 2024",Albany FireWolves 13 @ Buffalo Bandits 10,,13-10,17953,3,23,Away
