name,height,weight
Mike Triolo,"6' 8""", 229 
Reece Callies,"6' 6""", 236 
Brett Craig,"6' 6""", 235 
Matt Marinier,"6' 6""", 225 
Ty Thompson,"6' 6""", 210 
Steve Priolo,"6' 5""", 234 
Mark Matthews,"6' 5""", 230 
Zack Belter,"6' 5""", 225 
Paul Dawson,"6' 5""", 225 
Kyle Waters,"6' 5""", 220 
Cam Wyers,"6' 5""", 220 
Kiel Matisz,"6' 5""", 215 
Keegan Bell,"6' 5""", 210 
Griffin Hall,"6' 5""", 210 
Caelan Mander,"6' 5""", 210 
Seth Van Schepen,"6' 5""", 197 
Jackson Suboch,"6' 5""", 195 
Dillon Ward,"6' 5""", 195 
Owen Down,"6' 5""", 190 
Joel Watson,"6' 4""", 308 
Frank Scigliano,"6' 4""", 250 
James Rahe,"6' 4""", 230 
Ethan Riggs,"6' 4""", 230 
Nate Faccin,"6' 4""", 225 
Carter McKenzie,"6' 4""", 225 
David Brock,"6' 4""", 223 
Justin Geddie,"6' 4""", 220 
Sean Kriwokon,"6' 4""", 220 
Brent Noseworthy,"6' 4""", 220 
Johnny Pearson,"6' 4""", 220 
Challen Rogers,"6' 4""", 220 
Brett Mydske,"6' 4""", 215 
Jordan Trottier,"6' 4""", 215 
Elijah Gash,"6' 4""", 210 
Thomas McConvey,"6' 4""", 210 
Liam LeClair,"6' 4""", 206 
Jason Knox,"6' 4""", 205 
Brodie Merrill,"6' 4""", 205 
Ryan Sheridan,"6' 4""", 205 
Cam Badour,"6' 4""", 200 
Kevin Crowley,"6' 4""", 200 
Matt Spanger,"6' 4""", 200 
Christian Watts,"6' 4""", 200 
Colton Watkinson,"6' 4""", 195 
Graydon Bradley,"6' 4""", 185 
Aden Walsh,"6' 4""", 180 
Doug Jamieson,"6' 3""", 245 
Connor Kirst,"6' 3""", 230 
Doug Buchan,"6' 3""", 225 
Tanner Cook,"6' 3""", 223 
Charlie Bertrand,"6' 3""", 220 
Brad Kri,"6' 3""", 220 
Connor Sellars,"6' 3""", 220 
Matt Sykes,"6' 3""", 220 
John Ranagan,"6' 3""", 218 
Cole Kirst,"6' 3""", 216 
Tyler Hendrycks,"6' 3""", 215 
Josh Jackson,"6' 3""", 215 
Adam Jay,"6' 3""", 215 
Jesse King,"6' 3""", 215 
Patrick Shoemay,"6' 3""", 215 
Patrick Dodds,"6' 3""", 212 
Briley Maxwell,"6' 3""", 211 
Warren Jeffrey,"6' 3""", 210 
Kellen LeClair,"6' 3""", 210 
John Lintz,"6' 3""", 210 
Jerrett Smith,"6' 3""", 210 
Zachary Young,"6' 3""", 208 
Dan Taylor,"6' 3""", 207 
Dawson Theede,"6' 3""", 206 
Matt Beers,"6' 3""", 205 
Liam Byrnes,"6' 3""", 205 
Callum Crawford,"6' 3""", 205 
Owen Grant,"6' 3""", 205 
Ian Llord,"6' 3""", 203 
