name,teams,games_played,goals,assists,pts,pp_goals,sh_goals,shots_on_goal,loose_ball,penalty_minutes,turn_over,cause_turn_over,blocked_shots,face_off_wins
Jeff Teat,New York Riptide, 15 , 47 , 61 , 108 , 7 , 1 , 188 , 86 , 4 , 67 , 2 , 2 , 0 
Josh Byrne,Buffalo Bandits, 14 , 42 , 59 , 101 , 4 , 1 , 179 , 57 , 12 , 49 , 11 , 0 , 0 
Dhane Smith,Buffalo Bandits, 14 , 20 , 77 , 97 , 4 , 2 , 118 , 91 , 8 , 64 , 14 , 1 , 0 
Connor Fields,Rochester Knighthawks, 13 , 41 , 53 , 94 , 9 , 1 , 199 , 121 , 6 , 46 , 7 , 0 , 0 
Wesley Berg,San Diego Seals, 15 , 34 , 56 , 90 , 8 , 1 , 140 , 82 , 16 , 37 , 3 , 0 , 0 
Austin Staats,San Diego Seals, 15 , 43 , 44 , 87 , 9 , 2 , 198 , 80 , 21 , 41 , 2 , 0 , 0 
Clarke Petterson,Halifax Thunderbirds, 15 , 34 , 49 , 83 , 5 , 0 , 131 , 73 , 10 , 45 , 7 , 1 , 0 
Will Malcom,Panther City Lacrosse Club, 14 , 31 , 51 , 82 , 5 , 1 , 126 , 81 , 0 , 51 , 7 , 0 , 0 
Jesse King,Calgary Roughnecks, 14 , 25 , 57 , 82 , 6 , 0 , 117 , 69 , 8 , 60 , 8 , 0 , 0 
Mark Matthews,Toronto Rock, 15 , 25 , 57 , 82 , 9 , 1 , 104 , 52 , 6 , 41 , 2 , 0 , 0 
Mitch Jones,Philadelphia Wings, 13 , 24 , 58 , 82 , 9 , 0 , 92 , 88 , 0 , 51 , 4 , 0 , 0 
Ryan Smith,Rochester Knighthawks, 13 , 39 , 42 , 81 , 8 , 0 , 134 , 53 , 4 , 27 , 8 , 0 , 0 
Alex Simmons,Albany FireWolves, 15 , 31 , 50 , 81 , 4 , 1 , 188 , 71 , 4 , 42 , 4 , 0 , 0 
Lyle Thompson,Georgia Swarm, 16 , 38 , 39 , 77 , 5 , 1 , 170 , 97 , 8 , 44 , 4 , 1 , 1 
Shayne Jackson,Georgia Swarm, 16 , 25 , 51 , 76 , 6 , 0 , 113 , 47 , 12 , 33 , 0 , 1 , 0 
Eli McLaughlin,Colorado Mammoth, 14 , 36 , 39 , 75 , 8 , 2 , 158 , 52 , 0 , 37 , 6 , 0 , 0 
Robert Church,Saskatchewan Rush, 13 , 37 , 37 , 74 , 12 , 0 , 151 , 47 , 2 , 48 , 3 , 0 , 0 
Keegan Bal,Vancouver Warriors, 14 , 33 , 41 , 74 , 12 , 1 , 147 , 51 , 2 , 48 , 3 , 1 , 0 
Adam Charalambides,Vancouver Warriors, 14 , 28 , 46 , 74 , 4 , 1 , 119 , 63 , 4 , 54 , 1 , 2 , 0 
Andrew Kew,Georgia Swarm, 15 , 30 , 43 , 73 , 7 , 2 , 133 , 78 , 0 , 32 , 0 , 0 , 0 
Joe Resetarits,Philadelphia Wings, 13 , 27 , 45 , 72 , 7 , 0 , 113 , 60 , 0 , 33 , 0 , 0 , 0 
Callum Crawford,Panther City Lacrosse Club, 12 , 32 , 39 , 71 , 10 , 1 , 126 , 46 , 4 , 41 , 3 , 0 , 0 
Ethan Walker,Albany FireWolves, 15 , 27 , 43 , 70 , 6 , 0 , 119 , 72 , 2 , 33 , 1 , 0 , 0 
Austin Shanks,Halifax Thunderbirds, 14 , 19 , 51 , 70 , 3 , 0 , 132 , 51 , 10 , 47 , 1 , 1 , 0 
Rob Hellyer,Las Vegas Desert Dogs, 14 , 20 , 49 , 69 , 2 , 2 , 105 , 46 , 2 , 36 , 3 , 1 , 0 
Tyler Pace,Calgary Roughnecks, 14 , 28 , 40 , 68 , 9 , 1 , 117 , 56 , 6 , 45 , 3 , 0 , 0 
Connor Kearnan,New York Riptide, 15 , 22 , 46 , 68 , 2 , 1 , 98 , 61 , 8 , 52 , 1 , 0 , 0 
Ryan Benesch,Halifax Thunderbirds, 15 , 39 , 28 , 67 , 8 , 0 , 125 , 79 , 6 , 45 , 3 , 1 , 0 
Jonathan Donville,Panther City Lacrosse Club, 14 , 25 , 41 , 66 , 3 , 1 , 130 , 50 , 0 , 34 , 2 , 1 , 0 
Ryan Keenan,Saskatchewan Rush, 13 , 24 , 42 , 66 , 5 , 2 , 107 , 50 , 4 , 41 , 4 , 0 , 0 
Tye Kurtz,Albany FireWolves, 15 , 29 , 35 , 64 , 4 , 2 , 126 , 95 , 4 , 31 , 4 , 0 , 0 
Dane Dobbie,San Diego Seals, 15 , 21 , 43 , 64 , 8 , 1 , 129 , 41 , 6 , 52 , 5 , 1 , 0 
Ryan Lanchbury,Rochester Knighthawks, 12 , 16 , 48 , 64 , 1 , 0 , 95 , 49 , 4 , 34 , 1 , 0 , 0 
Corey Small,Toronto Rock, 15 , 33 , 29 , 62 , 11 , 0 , 113 , 36 , 4 , 24 , 0 , 0 , 0 
Reilly OConnor,New York Riptide, 15 , 13 , 48 , 61 , 4 , 0 , 100 , 60 , 8 , 22 , 1 , 0 , 0 
Zach Manns,Saskatchewan Rush, 13 , 26 , 34 , 60 , 2 , 2 , 83 , 46 , 2 , 41 , 1 , 2 , 0 
